filename,paragraph,sentence,pairs
N5085FM-00001.txt,44,1,[('じいじ', '日々木')]
N5085FM-00001.txt,45,3,[('日々木', '日野'), ('華菜', '日々木'), ('華菜', '日野')]
N5085FM-00001.txt,48,2,[('日々木', '日野')]
N5085FM-00001.txt,50,3,[('日野', '日々木')]
N5085FM-00001.txt,58,1,[('高木', '日々木'), ('小野田', '日々木'), ('高木', '小野田')]
N5085FM-00001.txt,59,4,[('高木', '日野')]
N5085FM-00001.txt,60,8,[('安藤', '日野')]
N5085FM-00001.txt,63,6,[('安藤', '日野')]
N5085FM-00001.txt,65,6,[('安藤', '日野')]
N5085FM-00002.txt,2,5,[('高木', '日々木'), ('小野田', '日々木'), ('高木', '小野田')]
N5085FM-00002.txt,3,9,[('高木', '日々木')]
N5085FM-00002.txt,7,3,[('藤原', '小野田')]
N5085FM-00002.txt,32,1,[('高木', '日々木')]
N5085FM-00002.txt,34,6,[('高木', '日々木')]
N5085FM-00002.txt,41,5,[('安藤', '日々木')]
N5085FM-00003.txt,3,1,[('安藤', '日野')]
N5085FM-00003.txt,20,1,[('安藤', '日野')]
N5085FM-00003.txt,43,1,[('安藤', '日野')]
N5085FM-00004.txt,1,1,[('華菜', '日々木')]
N5085FM-00004.txt,9,1,[('安藤', '日々木')]
N5085FM-00004.txt,10,1,[('安藤', '日々木')]
N5085FM-00004.txt,12,1,[('安藤', '日々木'), ('日々木', '日野'), ('安藤', '日野')]
N5085FM-00004.txt,13,1,[('日々木', '日野')]
N5085FM-00004.txt,15,1,[('安藤', '日々木')]
N5085FM-00004.txt,16,1,[('日々木', '日野')]
N5085FM-00004.txt,18,1,[('安藤', '日野')]
N5085FM-00004.txt,20,1,[('日々木', '日野')]
N5085FM-00004.txt,22,1,[('安藤', '日野')]
N5085FM-00004.txt,29,1,[('安藤', '日々木'), ('日々木', '日野'), ('安藤', '日野')]
N5085FM-00004.txt,30,1,[('日々木', '日野')]
N5085FM-00004.txt,31,1,[('日々木', '日野')]
N5085FM-00004.txt,32,1,[('日々木', '日野')]
N5085FM-00004.txt,38,1,[('日々木', '日野')]
N5085FM-00004.txt,39,1,[('日々木', '日野')]
N5085FM-00004.txt,40,1,[('日々木', '日野')]
N5085FM-00005.txt,4,1,[('安藤', '華菜')]
N5085FM-00005.txt,46,1,[('日々木', '日野')]
N5085FM-00006.txt,8,1,[('華菜', '日々木'), ('安藤', '日々木'), ('華菜', '日野'), ('安藤', '華菜'), ('安藤', '日野'), ('日々木', '日野')]
N5085FM-00006.txt,9,1,[('安藤', '日野')]
N5085FM-00006.txt,14,1,[('安藤', '日野')]
N5085FM-00006.txt,26,1,[('華菜', '日野')]
N5085FM-00007.txt,5,1,[('安藤', '日々木')]
N5085FM-00007.txt,12,1,[('校長先生', '華菜')]
N5085FM-00008.txt,6,1,[('安藤', '日野')]
N5085FM-00008.txt,7,1,[('高木', '日野')]
N5085FM-00008.txt,28,1,[('安藤', '華菜')]
N5085FM-00008.txt,31,1,[('安藤', '日々木'), ('日々木', '日野'), ('安藤', '日野')]
N5085FM-00008.txt,32,1,[('安藤', '日野')]
N5085FM-00008.txt,55,1,[('日々木', '日野')]
N5085FM-00009.txt,22,1,[('日々木', '日野')]
N5085FM-00009.txt,23,1,[('日々木', '日野')]
N5085FM-00009.txt,28,1,[('日々木', '日野')]
N5085FM-00009.txt,37,1,[('日々木', '日野')]
N5085FM-00010.txt,4,1,[('笠井', '千草')]
